Entity,Code,Year,GDP per capita,900793-annotations
Brazil,BRA,1948,2096,
Brazil,BRA,1949,2204,
Brazil,BRA,1950,2236,
Brazil,BRA,1951,2279,
Brazil,BRA,1952,2377,
Brazil,BRA,1953,2418,
Brazil,BRA,1954,2531,
Brazil,BRA,1955,2675,
Brazil,BRA,1956,2672,
Brazil,BRA,1957,2793,
Brazil,BRA,1958,3005,
Brazil,BRA,1959,3201,
Brazil,BRA,1960,3398,
Brazil,BRA,1961,3585,
Brazil,BRA,1962,3711,
Brazil,BRA,1963,3623,
Brazil,BRA,1964,3637,
Brazil,BRA,1965,3617,
Brazil,BRA,1966,3747,
Brazil,BRA,1967,3795,
Brazil,BRA,1968,4050,
Brazil,BRA,1969,4313,
Brazil,BRA,1970,4635,
Brazil,BRA,1971,5024,
Brazil,BRA,1972,5480,
Brazil,BRA,1973,6086,
Brazil,BRA,1974,6416,
Brazil,BRA,1975,6582,
Brazil,BRA,1976,7079,
Brazil,BRA,1977,7248,
Brazil,BRA,1978,7425,
Brazil,BRA,1979,7736,
Brazil,BRA,1980,8249,
Brazil,BRA,1981,7709,
Brazil,BRA,1982,7587,
Brazil,BRA,1983,7203,
Brazil,BRA,1984,7438,
Brazil,BRA,1985,7862,
Brazil,BRA,1986,8281,
Brazil,BRA,1987,8402,
Brazil,BRA,1988,8230,
Brazil,BRA,1989,8333,
Brazil,BRA,1990,7842,
Brazil,BRA,1991,7888.0483,
Brazil,BRA,1992,7812.7944,
Brazil,BRA,1993,8166.2354,
Brazil,BRA,1994,8615.688,
Brazil,BRA,1995,8951.694,
Brazil,BRA,1996,9124.516,
Brazil,BRA,1997,9409.946,
Brazil,BRA,1998,9419.107,
Brazil,BRA,1999,9441.759,
Brazil,BRA,2000,9834.425,
Brazil,BRA,2001,9953.31,
Brazil,BRA,2002,10245.069,
Brazil,BRA,2003,10354.596,
Brazil,BRA,2004,10949.66,
Brazil,BRA,2005,11305.771,
Brazil,BRA,2006,11766.605,
Brazil,BRA,2007,12500.007,
Brazil,BRA,2008,13164.012,
Brazil,BRA,2009,13180.891,
Brazil,BRA,2010,14215.612,
Brazil,BRA,2011,14831,
Brazil,BRA,2012,14985.498,
Brazil,BRA,2013,15305.414,
Brazil,BRA,2014,15251.89,
Brazil,BRA,2015,14583.982,
Brazil,BRA,2016,13990.646,
Brazil,BRA,2017,14062.75,
Brazil,BRA,2018,14197.55,
Brazil,BRA,2019,14257.871,
Brazil,BRA,2020,13685.926,
Brazil,BRA,2021,14292.936,
Brazil,BRA,2022,14640.076,
Chile,CHL,1948,5939,
Chile,CHL,1949,5710,
Chile,CHL,1950,5880,
Chile,CHL,1951,6001,
Chile,CHL,1952,6252,
Chile,CHL,1953,6582,
Chile,CHL,1954,6237,
Chile,CHL,1955,6341,
Chile,CHL,1956,6285,
Chile,CHL,1957,6758,
Chile,CHL,1958,6958,
Chile,CHL,1959,6409,
Chile,CHL,1960,6781,
Chile,CHL,1961,6923,
Chile,CHL,1962,7071,
Chile,CHL,1963,7336,
Chile,CHL,1964,7320,
Chile,CHL,1965,7208,
Chile,CHL,1966,7844,
Chile,CHL,1967,7933,
Chile,CHL,1968,8053,
Chile,CHL,1969,8187,
Chile,CHL,1970,8195,
Chile,CHL,1971,8773,
Chile,CHL,1972,8520,
Chile,CHL,1973,7911,
Chile,CHL,1974,7857,
Chile,CHL,1975,6731,
Chile,CHL,1976,6868,
Chile,CHL,1977,7438,
Chile,CHL,1978,7936,
Chile,CHL,1979,8475,
Chile,CHL,1980,9024,
Chile,CHL,1981,9427,
Chile,CHL,1982,8016,
Chile,CHL,1983,7667,
Chile,CHL,1984,7992,
Chile,CHL,1985,8024,
Chile,CHL,1986,8325,
Chile,CHL,1987,8721,
Chile,CHL,1988,9199,
Chile,CHL,1989,10005,
Chile,CHL,1990,10203,
Chile,CHL,1991,10746.491,
Chile,CHL,1992,11773.301,
Chile,CHL,1993,12296.926,
Chile,CHL,1994,12692.551,
Chile,CHL,1995,13715.933,
Chile,CHL,1996,14433.319,
Chile,CHL,1997,15079.831,
Chile,CHL,1998,15259.541,
Chile,CHL,1999,14846.418,
Chile,CHL,2000,15211.623,
Chile,CHL,2001,15448.009,
Chile,CHL,2002,15509.825,
Chile,CHL,2003,15809.178,
Chile,CHL,2004,16478.973,
Chile,CHL,2005,17137.486,
Chile,CHL,2006,17920.803,
Chile,CHL,2007,18487.9,
Chile,CHL,2008,18804.03,
Chile,CHL,2009,18184.48,
Chile,CHL,2010,18909.848,
Chile,CHL,2011,19705,
Chile,CHL,2012,20690.797,
Chile,CHL,2013,21171.06,
Chile,CHL,2014,21337.76,
Chile,CHL,2015,21574.018,
Chile,CHL,2016,21715.713,
Chile,CHL,2017,21709.428,
Chile,CHL,2018,22175.664,
Chile,CHL,2019,21924.408,
Chile,CHL,2020,20205.87,
Chile,CHL,2021,22324.96,
Chile,CHL,2022,22740.72,
China,CHN,1950,799,
China,CHN,1951,950,
China,CHN,1952,1047,
China,CHN,1953,1157,
China,CHN,1954,1049,
China,CHN,1955,1119,
China,CHN,1956,1189,
China,CHN,1957,1195,
China,CHN,1958,1173,
China,CHN,1959,1117,
China,CHN,1960,1057,
China,CHN,1961,874,
China,CHN,1962,926,
China,CHN,1963,1034,
China,CHN,1964,1152,
China,CHN,1965,1253,
China,CHN,1966,1261,
China,CHN,1967,1237,
China,CHN,1968,1178,
China,CHN,1969,1264,
China,CHN,1970,1398,
China,CHN,1971,1446,
China,CHN,1972,1431,
China,CHN,1973,1513,
China,CHN,1974,1519,
China,CHN,1975,1594,
China,CHN,1976,1519,
China,CHN,1977,1583,
China,CHN,1978,1744,
China,CHN,1979,1859,
China,CHN,1980,1930,
China,CHN,1981,1962,
China,CHN,1982,2128,
China,CHN,1983,2227,
China,CHN,1984,2444,
China,CHN,1985,2619,
China,CHN,1986,2748,
China,CHN,1987,2931,
China,CHN,1988,3045,
China,CHN,1989,3022,
China,CHN,1990,2982,
China,CHN,1991,3051.3152,
China,CHN,1992,3227.7441,
China,CHN,1993,3506.48,
China,CHN,1994,3730.164,
China,CHN,1995,3999.7292,
China,CHN,1996,4219.644,
China,CHN,1997,4310.828,
China,CHN,1998,4309.847,
China,CHN,1999,4466.7363,
China,CHN,2000,4730.3545,
China,CHN,2001,4995.1445,
China,CHN,2002,5343.1123,
China,CHN,2003,5649.4634,
China,CHN,2004,6067.5913,
China,CHN,2005,6626.592,
China,CHN,2006,7271.0356,
China,CHN,2007,7895.713,
China,CHN,2008,8190.1123,
China,CHN,2009,8734.041,
China,CHN,2010,9658.419,
China,CHN,2011,10221,
China,CHN,2012,10946.834,
China,CHN,2013,11731.295,
China,CHN,2014,12515.198,
China,CHN,2015,13325.432,
China,CHN,2016,14138.955,
China,CHN,2017,15030.447,
China,CHN,2018,15977.008,
China,CHN,2019,16879.54,
China,CHN,2020,17225.969,
China,CHN,2021,18666.605,
China,CHN,2022,19238.18,
Germany,DEU,1948,4517,
Germany,DEU,1949,5231,
Germany,DEU,1950,6186,
Germany,DEU,1951,6704,
Germany,DEU,1952,7257,
Germany,DEU,1953,7818,
Germany,DEU,1954,8364,
Germany,DEU,1955,9240,
Germany,DEU,1956,9846,
Germany,DEU,1957,10348,
Germany,DEU,1958,10739,
Germany,DEU,1959,11440,
Germany,DEU,1960,12282,
Germany,DEU,1961,12675,
Germany,DEU,1962,13106,
Germany,DEU,1963,13367,
Germany,DEU,1964,14062,
Germany,DEU,1965,14642,
Germany,DEU,1966,14964,
Germany,DEU,1967,14979,
Germany,DEU,1968,15723,
Germany,DEU,1969,16641,
Germany,DEU,1970,17277,
Germany,DEU,1971,17657,
Germany,DEU,1972,18301,
Germany,DEU,1973,19074,
Germany,DEU,1974,19228,
Germany,DEU,1975,19193,
Germany,DEU,1976,20218,
Germany,DEU,1977,20837,
Germany,DEU,1978,21447,
Germany,DEU,1979,22305,
Germany,DEU,1980,22497,
Germany,DEU,1981,22553,
Germany,DEU,1982,22380,
Germany,DEU,1983,22840,
Germany,DEU,1984,23564,
Germany,DEU,1985,24133,
Germany,DEU,1986,24657,
Germany,DEU,1987,25027,
Germany,DEU,1988,25759,
Germany,DEU,1989,26393,
Germany,DEU,1990,25391,
Germany,DEU,1991,26769.96,
Germany,DEU,1992,27385.055,
Germany,DEU,1993,27250.701,
Germany,DEU,1994,28140.057,
Germany,DEU,1995,28868.945,
Germany,DEU,1996,29349.982,
Germany,DEU,1997,30186.945,
Germany,DEU,1998,31129.584,
Germany,DEU,1999,32087.604,
Germany,DEU,2000,33367.285,
Germany,DEU,2001,34260.29,
Germany,DEU,2002,34590.93,
Germany,DEU,2003,34716.44,
Germany,DEU,2004,35528.715,
Germany,DEU,2005,36205.574,
Germany,DEU,2006,38014.137,
Germany,DEU,2007,39752.207,
Germany,DEU,2008,40715.434,
Germany,DEU,2009,38962.938,
Germany,DEU,2010,41109.582,
Germany,DEU,2011,43189,
Germany,DEU,2012,43288.32,
Germany,DEU,2013,43359.137,
Germany,DEU,2014,44132.758,
Germany,DEU,2015,44405.168,
Germany,DEU,2016,45030.47,
Germany,DEU,2017,46065.1,
Germany,DEU,2018,46377.39,
Germany,DEU,2019,46761.945,
Germany,DEU,2020,44996.43,
Germany,DEU,2021,46159.05,
Germany,DEU,2022,46647.793,
Ireland,IRL,1948,5149,
Ireland,IRL,1949,5426,
Ireland,IRL,1950,5504,
Ireland,IRL,1951,5649,
Ireland,IRL,1952,5805,
Ireland,IRL,1953,5973,
Ireland,IRL,1954,6048,
Ireland,IRL,1955,6248,
Ireland,IRL,1956,6212,
Ireland,IRL,1957,6239,
Ireland,IRL,1958,6169,
Ireland,IRL,1959,6437,
Ireland,IRL,1960,6825,
Ireland,IRL,1961,7186,
Ireland,IRL,1962,7390,
Ireland,IRL,1963,7685,
Ireland,IRL,1964,7948,
Ireland,IRL,1965,8051,
Ireland,IRL,1966,8097,
Ireland,IRL,1967,8531,
Ireland,IRL,1968,9197,
Ireland,IRL,1969,9706,
Ireland,IRL,1970,9881,
Ireland,IRL,1971,10128,
Ireland,IRL,1972,10621,
Ireland,IRL,1973,10946,
Ireland,IRL,1974,11225,
Ireland,IRL,1975,11662,
Ireland,IRL,1976,11639,
Ireland,IRL,1977,12425,
Ireland,IRL,1978,13150,
Ireland,IRL,1979,13335,
Ireland,IRL,1980,13614,
Ireland,IRL,1981,13893,
Ireland,IRL,1982,14061,
Ireland,IRL,1983,13931,
Ireland,IRL,1984,14435,
Ireland,IRL,1985,14834,
Ireland,IRL,1986,14768,
Ireland,IRL,1987,15458,
Ireland,IRL,1988,16313,
Ireland,IRL,1989,17343,
Ireland,IRL,1990,18838,
Ireland,IRL,1991,19253.943,
Ireland,IRL,1992,20032.719,
Ireland,IRL,1993,20627.078,
Ireland,IRL,1994,22004.814,
Ireland,IRL,1995,24266.143,
Ireland,IRL,1996,26562.908,
Ireland,IRL,1997,29455.92,
Ireland,IRL,1998,31908.648,
Ireland,IRL,1999,35377.164,
Ireland,IRL,2000,38806.5,
Ireland,IRL,2001,40966.332,
Ireland,IRL,2002,43012.816,
Ireland,IRL,2003,44372.758,
Ireland,IRL,2004,47028.863,
Ireland,IRL,2005,49223.383,
Ireland,IRL,2006,51296.195,
Ireland,IRL,2007,52322.23,
Ireland,IRL,2008,49583.14,
Ireland,IRL,2009,47375.734,
Ireland,IRL,2010,48623.81,
Ireland,IRL,2011,48980,
Ireland,IRL,2012,47360.09,
Ireland,IRL,2013,48181.234,
Ireland,IRL,2014,50732.348,
Ireland,IRL,2015,53196.598,
Ireland,IRL,2016,53686.844,
Ireland,IRL,2017,55465.652,
Ireland,IRL,2018,58083.45,
Ireland,IRL,2019,59733.91,
Ireland,IRL,2020,55134.855,
Ireland,IRL,2021,57278.42,
Ireland,IRL,2022,60257.082,
Japan,JPN,1948,2857.23,
Japan,JPN,1949,2866.77,
Japan,JPN,1950,3062,
Japan,JPN,1951,3389,
Japan,JPN,1952,3724,
Japan,JPN,1953,3944,
Japan,JPN,1954,4116,
Japan,JPN,1955,4417,
Japan,JPN,1956,4699,
Japan,JPN,1957,4999,
Japan,JPN,1958,5243,
Japan,JPN,1959,5665,
Japan,JPN,1960,6354,
Japan,JPN,1961,7055,
Japan,JPN,1962,7614,
Japan,JPN,1963,8176,
Japan,JPN,1964,9035,
Japan,JPN,1965,9459,
Japan,JPN,1966,10370,
Japan,JPN,1967,11400,
Japan,JPN,1968,12725,
Japan,JPN,1969,14145,
Japan,JPN,1970,15484,
Japan,JPN,1971,16004,
Japan,JPN,1972,17110,
Japan,JPN,1973,18226,
Japan,JPN,1974,17765,
Japan,JPN,1975,18082,
Japan,JPN,1976,18600,
Japan,JPN,1977,19230,
Japan,JPN,1978,20060,
Japan,JPN,1979,20982,
Japan,JPN,1980,21404,
Japan,JPN,1981,21924,
Japan,JPN,1982,22440,
Japan,JPN,1983,22805,
Japan,JPN,1984,23548,
Japan,JPN,1985,24437,
Japan,JPN,1986,24992,
Japan,JPN,1987,25904,
Japan,JPN,1988,27393,
Japan,JPN,1989,28601,
Japan,JPN,1990,29949,
Japan,JPN,1991,30837.432,
Japan,JPN,1992,30977.814,
Japan,JPN,1993,30920.66,
Japan,JPN,1994,31135.428,
Japan,JPN,1995,31887.277,
Japan,JPN,1996,32784.156,
Japan,JPN,1997,33038.293,
Japan,JPN,1998,32558.188,
Japan,JPN,1999,32394.516,
Japan,JPN,2000,33210.81,
Japan,JPN,2001,33246.39,
Japan,JPN,2002,33195.402,
Japan,JPN,2003,33619.95,
Japan,JPN,2004,34313.56,
Japan,JPN,2005,34857.754,
Japan,JPN,2006,35333.113,
Japan,JPN,2007,35892.71,
Japan,JPN,2008,35496.227,
Japan,JPN,2009,33590.01,
Japan,JPN,2010,35011.402,
Japan,JPN,2011,34979,
Japan,JPN,2012,35537.438,
Japan,JPN,2013,36312.348,
Japan,JPN,2014,36440.215,
Japan,JPN,2015,37053.176,
Japan,JPN,2016,37384.56,
Japan,JPN,2017,38078.96,
Japan,JPN,2018,38403.68,
Japan,JPN,2019,38332.934,
Japan,JPN,2020,36826.64,
Japan,JPN,2021,37678.277,
Japan,JPN,2022,38268.79,
South Korea,KOR,1948,1098.8716,
South Korea,KOR,1949,1188.9807,
South Korea,KOR,1950,998.08875,
South Korea,KOR,1951,990.77,
South Korea,KOR,1952,1038.041,
South Korea,KOR,1953,1316.691,
South Korea,KOR,1954,1372.6798,
South Korea,KOR,1955,1411.3336,
South Korea,KOR,1956,1381.9828,
South Korea,KOR,1957,1466.7677,
South Korea,KOR,1958,1517.8839,
South Korea,KOR,1959,1555.7272,
South Korea,KOR,1960,1547.6918,
South Korea,KOR,1961,1605.8468,
South Korea,KOR,1962,1620.4901,
South Korea,KOR,1963,1720.8241,
South Korea,KOR,1964,1834.9778,
South Korea,KOR,1965,1917.4283,
South Korea,KOR,1966,2093.888,
South Korea,KOR,1967,2232.0535,
South Korea,KOR,1968,2468.4836,
South Korea,KOR,1969,2764.1533,
South Korea,KOR,1970,2974.8074,
South Korea,KOR,1971,3221.6746,
South Korea,KOR,1972,3387.8906,
South Korea,KOR,1973,3822.046,
South Korea,KOR,1974,4112.6016,
South Korea,KOR,1975,4362.007,
South Korea,KOR,1976,4855.941,
South Korea,KOR,1977,5367.795,
South Korea,KOR,1978,5856.4966,
South Korea,KOR,1979,6265.886,
South Korea,KOR,1980,6064.04,
South Korea,KOR,1981,6398.851,
South Korea,KOR,1982,6821.475,
South Korea,KOR,1983,7611.7344,
South Korea,KOR,1984,8303.519,
South Korea,KOR,1985,8859.355,
South Korea,KOR,1986,9756.205,
South Korea,KOR,1987,10864.975,
South Korea,KOR,1988,12039.945,
South Korea,KOR,1989,12759.489,
South Korea,KOR,1990,13874,
South Korea,KOR,1991,15056.16,
South Korea,KOR,1992,15712.002,
South Korea,KOR,1993,16503.434,
South Korea,KOR,1994,17720.395,
South Korea,KOR,1995,19089.299,
South Korea,KOR,1996,20204.56,
South Korea,KOR,1997,21055.945,
South Korea,KOR,1998,19624.691,
South Korea,KOR,1999,21540.693,
South Korea,KOR,2000,23108.018,
South Korea,KOR,2001,23804.438,
South Korea,KOR,2002,25250.637,
South Korea,KOR,2003,25679.246,
South Korea,KOR,2004,26646.504,
South Korea,KOR,2005,27443.283,
South Korea,KOR,2006,28516.484,
South Korea,KOR,2007,29716.57,
South Korea,KOR,2008,30117.729,
South Korea,KOR,2009,29967.562,
South Korea,KOR,2010,31537.773,
South Korea,KOR,2011,32225,
South Korea,KOR,2012,32826.48,
South Korea,KOR,2013,33711.656,
South Korea,KOR,2014,34573.09,
South Korea,KOR,2015,35357.52,
South Korea,KOR,2016,36255.24,
South Korea,KOR,2017,37296.047,
South Korea,KOR,2018,38214.324,
South Korea,KOR,2019,38935.992,
South Korea,KOR,2020,38606.984,
South Korea,KOR,2021,40277.953,
South Korea,KOR,2022,41320.9,
United Kingdom,GBR,1948,10753,
United Kingdom,GBR,1949,11088,
United Kingdom,GBR,1950,11061,
United Kingdom,GBR,1951,11354,
United Kingdom,GBR,1952,11303,
United Kingdom,GBR,1953,11709,
United Kingdom,GBR,1954,12145,
United Kingdom,GBR,1955,12541,
United Kingdom,GBR,1956,12639,
United Kingdom,GBR,1957,12779,
United Kingdom,GBR,1958,12698,
United Kingdom,GBR,1959,13134,
United Kingdom,GBR,1960,13780,
United Kingdom,GBR,1961,14118,
United Kingdom,GBR,1962,14131,
United Kingdom,GBR,1963,14583,
United Kingdom,GBR,1964,15251,
United Kingdom,GBR,1965,15545,
United Kingdom,GBR,1966,15757,
United Kingdom,GBR,1967,16018,
United Kingdom,GBR,1968,16593,
United Kingdom,GBR,1969,16820,
United Kingdom,GBR,1970,17162,
United Kingdom,GBR,1971,17440,
United Kingdom,GBR,1972,18002,
United Kingdom,GBR,1973,19168,
United Kingdom,GBR,1974,18903,
United Kingdom,GBR,1975,18884,
United Kingdom,GBR,1976,19311,
United Kingdom,GBR,1977,19740,
United Kingdom,GBR,1978,20448,
United Kingdom,GBR,1979,20988,
United Kingdom,GBR,1980,20612,
United Kingdom,GBR,1981,20319,
United Kingdom,GBR,1982,20650,
United Kingdom,GBR,1983,21366,
United Kingdom,GBR,1984,21869,
United Kingdom,GBR,1985,22579,
United Kingdom,GBR,1986,23498,
United Kingdom,GBR,1987,24536,
United Kingdom,GBR,1988,25679,
United Kingdom,GBR,1989,26164,
United Kingdom,GBR,1990,26189,
United Kingdom,GBR,1991,25792.014,
United Kingdom,GBR,1992,25790.186,
United Kingdom,GBR,1993,26349.342,
United Kingdom,GBR,1994,27277.543,
United Kingdom,GBR,1995,27861.215,
United Kingdom,GBR,1996,28472.248,
United Kingdom,GBR,1997,29259.764,
United Kingdom,GBR,1998,30077.385,
United Kingdom,GBR,1999,30932.537,
United Kingdom,GBR,2000,31946.037,
United Kingdom,GBR,2001,32660.441,
United Kingdom,GBR,2002,33271.3,
United Kingdom,GBR,2003,34232.426,
United Kingdom,GBR,2004,34865.78,
United Kingdom,GBR,2005,35623.625,
United Kingdom,GBR,2006,36214.07,
United Kingdom,GBR,2007,36816.676,
United Kingdom,GBR,2008,36264.79,
United Kingdom,GBR,2009,34402.36,
United Kingdom,GBR,2010,34754.473,
United Kingdom,GBR,2011,34971,
United Kingdom,GBR,2012,35243.64,
United Kingdom,GBR,2013,35660.56,
United Kingdom,GBR,2014,36521.86,
United Kingdom,GBR,2015,37101.227,
United Kingdom,GBR,2016,37593.906,
United Kingdom,GBR,2017,38283.938,
United Kingdom,GBR,2018,38704.6,
United Kingdom,GBR,2019,39113.01,
United Kingdom,GBR,2020,34651.184,
United Kingdom,GBR,2021,37134.33,
United Kingdom,GBR,2022,38406.53,
United States,USA,1948,14734.232,
United States,USA,1949,14196.672,
United States,USA,1950,15240,
United States,USA,1951,16125,
United States,USA,1952,16444,
United States,USA,1953,16917,
United States,USA,1954,16512,
United States,USA,1955,17370,
United States,USA,1956,17397,
United States,USA,1957,17406,
United States,USA,1958,16946,
United States,USA,1959,17900,
United States,USA,1960,18057,
United States,USA,1961,18175,
United States,USA,1962,18976,
United States,USA,1963,19514,
United States,USA,1964,20360,
United States,USA,1965,21390,
United States,USA,1966,22529,
United States,USA,1967,22842,
United States,USA,1968,23691,
United States,USA,1969,24195,
United States,USA,1970,23958,
United States,USA,1971,24394,
United States,USA,1972,25414,
United States,USA,1973,26602,
United States,USA,1974,26286,
United States,USA,1975,25956,
United States,USA,1976,27058,
United States,USA,1977,28001,
United States,USA,1978,29286,
United States,USA,1979,29949,
United States,USA,1980,29611,
United States,USA,1981,30056,
United States,USA,1982,29210,
United States,USA,1983,30158,
United States,USA,1984,32076,
United States,USA,1985,33023,
United States,USA,1986,33850,
United States,USA,1987,34730,
United States,USA,1988,35863,
United States,USA,1989,36756,
United States,USA,1990,36982,
United States,USA,1991,36463.957,
United States,USA,1992,37240.3,
United States,USA,1993,37761.535,
United States,USA,1994,38807.28,
United States,USA,1995,39390.625,
United States,USA,1996,40412.75,
United States,USA,1997,41722.67,
United States,USA,1998,43072.758,
United States,USA,1999,44575.848,
United States,USA,2000,45886.47,
United States,USA,2001,45878.008,
United States,USA,2002,46266.297,
United States,USA,2003,47157.996,
United States,USA,2004,48492.72,
United States,USA,2005,49654.76,
United States,USA,2006,50489.86,
United States,USA,2007,50901.746,
United States,USA,2008,50275.746,
United States,USA,2009,48452.934,
United States,USA,2010,49266.914,
United States,USA,2011,49675,
United States,USA,2012,50436.434,
United States,USA,2013,51010.797,
United States,USA,2014,51796.62,
United States,USA,2015,52808.152,
United States,USA,2016,53301.016,
United States,USA,2017,54152.363,
United States,USA,2018,55454.668,
United States,USA,2019,56469.26,
United States,USA,2020,54379.207,
United States,USA,2021,57522.703,
United States,USA,2022,58487.465,